,t1,t2,score
436901,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & The Olympians: The Lightning Thief,0.02
4533840,"The Twilight Saga: Breaking Dawn, Part 1",The Twilight Saga: Breaking Dawn Part 1,0.025
5928319,"The Twilight Saga: Breaking Dawn, Part 2",The Twilight Saga: Breaking Dawn Part 2,0.025
6849526,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where To Find Them,0.02564102564102564
6740513,A Million Ways to Die in The West,A Million Ways to Die in the West,0.030303030303030304
9360507,Thunder and the House of Magic,Thunder and the House of Magic!,0.03225806451612903
2507789,House at the End of the Street,House at the End of The Street,0.03333333333333333
3576559,In The Land of Blood and Honey,In the Land of Blood and Honey,0.03333333333333333
4423746,Guardians of the Galaxy Vol 2,Guardians of the Galaxy Vol. 2,0.03333333333333333
107137,Hoodwinked Too: Hood vs. Evil,Hoodwinked Too! Hood vs. Evil,0.034482758620689655
352222,Cirque du Soleil: Worlds Away,Cirque Du Soleil: Worlds Away,0.034482758620689655
6586171,Scott Pilgrim vs. The World,Scott Pilgrim vs. the World,0.037037037037037035
6134289,Glee: The 3D Concert Movie,Glee The 3D Concert Movie,0.038461538461538464
327951,Oz the Great and Powerful,Oz The Great and Powerful,0.04
435259,Ralph Breaks The Internet,Ralph Breaks the Internet,0.04
6293846,How to Be a Latin Lover,How to be a Latin Lover,0.043478260869565216
2850528,Jimi: All is By My Side,Jimi: All Is By My Side,0.043478260869565216
4404778,Tucker & Dale vs. Evil,Tucker & Dale Vs. Evil,0.045454545454545456
4336532,The Fault in Our Stars,The Fault in our Stars,0.045454545454545456
61675,Harry Potter and the Deathly Hallows: Part I,Harry Potter and the Deathly Hallows Part 2,0.045454545454545456
5783615,300: Rise of an Empire,300: Rise of An Empire,0.045454545454545456
60561,Harry Potter and the Deathly Hallows: Part I,Harry Potter and the Deathly Hallows Part 1,0.045454545454545456
6984958,Mr. Poppers's Penguins,Mr. Popper's Penguins,0.045454545454545456
5912282,Underworld: Awakening,Underworld Awakening,0.047619047619047616
2951380,Pacific Rim: Uprising,Pacific Rim Uprising,0.047619047619047616
8831985,Before I Go to Sleep,Before I Go To Sleep,0.05
4207555,20 Feet From Stardom,20 Feet from Stardom,0.05
5927892,"The Twilight Saga: Breaking Dawn, Part 2",The Twilight Saga: Breaking Dawn Part 1,0.05
9374361,Deliver Us from Evil,Deliver Us From Evil,0.05
7725534,From Paris With Love,From Paris with Love,0.05
4534267,"The Twilight Saga: Breaking Dawn, Part 1",The Twilight Saga: Breaking Dawn Part 2,0.05
7906094,"Crazy, Stupid, Love","Crazy, Stupid, Love.",0.05
1422542,Hobo with a Shotgun,Hobo With a Shotgun,0.05263157894736842
7224451,I Am Not Your Negro,I am Not Your Negro,0.05263157894736842
5230190,It Comes at Night,It Comes At Night,0.058823529411764705
5219635,The Way Way Back,"The Way, Way Back",0.058823529411764705
6012590,One for the Money,One For the Money,0.058823529411764705
73861,Wall Street 2: Money Never Sleeps,Wall Street: Money Never Sleeps,0.06060606060606061
7734332,How Do You Know?,How Do You Know,0.0625
4080381,How to be Single,How to Be Single,0.0625
7350388,Borg vs McEnroe,Borg vs. McEnroe,0.0625
6981501,The Back-up Plan,The Back-Up Plan,0.0625
4633924,I am Number Four,I Am Number Four,0.0625
471943,Harry Potter and the Deathly Hallows: Part II,Harry Potter and the Deathly Hallows Part 2,0.06666666666666667
470829,Harry Potter and the Deathly Hallows: Part II,Harry Potter and the Deathly Hallows Part 1,0.06666666666666667
3666952,Rock the Kasbah,Rock The Kasbah,0.06666666666666667
211386,Miss Peregrineâs Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,0.06666666666666667
2196629,Only the Brave,Only The Brave,0.07142857142857142
4561601,Into the Storm,Into The Storm,0.07142857142857142
5211493,The To Do List,The To-Do List,0.07142857142857142
